timestamp,device_id,test_id,waveform_type,bias,amplitude,frequency,test_purpose,quality_label,notes,cycle_id,feedback_position_%,setpoint_position_%,motor_torque_Nmm,power_W,internal_temperature_deg_C,rotation_direction,test_number
2026-03-16T18:43:53.034000+00:00,BELIMO-8,P4_MID_SINE_MED_001,sine,50.0,10.0,0.04,medium-frequency smooth dynamic characterization at mid bias,unreviewed,,,44.85,44.879555,0.0,0.0,28.5,0,4001
2026-03-16T18:43:53.081000+00:00,BELIMO-8,P4_MID_SINE_MED_001,sine,50.0,10.0,0.04,medium-frequency smooth dynamic characterization at mid bias,unreviewed,,,44.85,44.879555,0.0,0.0,28.5,0,4001
2026-03-16T18:43:53.128000+00:00,BELIMO-8,P4_MID_SINE_MED_001,sine,50.0,10.0,0.04,medium-frequency smooth dynamic characterization at mid bias,unreviewed,,,44.85,44.879555,0.0,0.0,28.5,0,4001
2026-03-16T18:43:53.174000+00:00,BELIMO-8,P4_MID_SINE_MED_001,sine,50.0,10.0,0.04,medium-frequency smooth dynamic characterization at mid bias,unreviewed,,,44.85,44.879555,0.0,0.0,28.5,0,4001
2026-03-16T18:43:53.221000+00:00,BELIMO-8,P4_MID_SINE_MED_001,sine,50.0,10.0,0.04,medium-frequency smooth dynamic characterization at mid bias,unreviewed,,,44.85,44.879555,0.0,0.0,28.400000000000002,0,4001
2026-03-16T18:43:53.268000+00:00,BELIMO-8,P4_MID_SINE_MED_001,sine,50.0,10.0,0.04,medium-frequency smooth dynamic characterization at mid bias,unreviewed,,,44.85,44.879555,0.0,0.0,28.400000000000002,0,4001
2026-03-16T18:43:53.315000+00:00,BELIMO-8,P4_MID_SINE_MED_001,sine,50.0,10.0,0.04,medium-frequency smooth dynamic characterization at mid bias,unreviewed,,,44.85,44.879555,0.0,0.0,28.400000000000002,0,4001
2026-03-16T18:43:53.364000+00:00,BELIMO-8,P4_MID_SINE_MED_001,sine,50.0,10.0,0.04,medium-frequency smooth dynamic characterization at mid bias,unreviewed,,,44.85,44.879555,0.0,0.0,28.400000000000002,0,4001
2026-03-16T18:43:53.415000+00:00,BELIMO-8,P4_MID_SINE_MED_001,sine,50.0,10.0,0.04,medium-frequency smooth dynamic characterization at mid bias,unreviewed,,,44.85,44.879555,0.0,0.0,28.400000000000002,0,4001
2026-03-16T18:43:53.463000+00:00,BELIMO-8,P4_MID_SINE_MED_001,sine,50.0,10.0,0.04,medium-frequency smooth dynamic characterization at mid bias,unreviewed,,,44.85,44.879555,0.0,0.0,28.400000000000002,0,4001
2026-03-16T18:43:53.510000+00:00,BELIMO-8,P4_MID_SINE_MED_001,sine,50.0,10.0,0.04,medium-frequency smooth dynamic characterization at mid bias,unreviewed,,,44.85,44.879555,0.0,0.0,28.400000000000002,0,4001
2026-03-16T18:43:53.556000+00:00,BELIMO-8,P4_MID_SINE_MED_001,sine,50.0,10.0,0.04,medium-frequency smooth dynamic characterization at mid bias,unreviewed,,,44.85,44.879555,0.0,0.0,28.400000000000002,0,4001
2026-03-16T18:43:53.607000+00:00,BELIMO-8,P4_MID_SINE_MED_001,sine,50.0,10.0,0.04,medium-frequency smooth dynamic characterization at mid bias,unreviewed,,,44.85,44.879555,0.0,0.0,28.400000000000002,0,4001
2026-03-16T18:43:53.654000+00:00,BELIMO-8,P4_MID_SINE_MED_001,sine,50.0,10.0,0.04,medium-frequency smooth dynamic characterization at mid bias,unreviewed,,,44.85,44.879555,0.0,0.0,28.400000000000002,0,4001
2026-03-16T18:43:53.702000+00:00,BELIMO-8,P4_MID_SINE_MED_001,sine,50.0,10.0,0.04,medium-frequency smooth dynamic characterization at mid bias,unreviewed,,,44.85,44.879555,0.0,0.0,28.400000000000002,0,4001
2026-03-16T18:43:53.748000+00:00,BELIMO-8,P4_MID_SINE_MED_001,sine,50.0,10.0,0.04,medium-frequency smooth dynamic characterization at mid bias,unreviewed,,,44.85,44.879555,0.0,0.0,28.400000000000002,0,4001
2026-03-16T18:43:53.795000+00:00,BELIMO-8,P4_MID_SINE_MED_001,sine,50.0,10.0,0.04,medium-frequency smooth dynamic characterization at mid bias,unreviewed,,,44.85,44.879555,0.0,0.0,28.400000000000002,0,4001
2026-03-16T18:43:53.842000+00:00,BELIMO-8,P4_MID_SINE_MED_001,sine,50.0,10.0,0.04,medium-frequency smooth dynamic characterization at mid bias,unreviewed,,,44.85,44.879555,0.0,0.0,28.400000000000002,0,4001
2026-03-16T18:43:53.888000+00:00,BELIMO-8,P4_MID_SINE_MED_001,sine,50.0,10.0,0.04,medium-frequency smooth dynamic characterization at mid bias,unreviewed,,,44.85,44.879555,0.0,0.0,28.400000000000002,0,4001
